company_name,high,low,last_price,prev_close,change,percent_gain
Krishna Inst.,"1,285.95","1,261.15","1,279.75","1,271.75",8.00,0.63
Vaibhav Global,367.90,352.30,359.45,357.25,2.20,0.62
Yes Bank,17.20,16.50,16.75,16.65,0.10,0.6
Dr Reddys Labs,"4,252.00","4,185.00","4,239.20","4,214.25",24.95,0.59
Hikal,339.95,330.45,333.45,331.50,1.95,0.59
Indiamart Inter,"4,749.90","4,600.00","4,688.45","4,660.75",27.70,0.59
KPR Mill,610.00,596.35,600.10,596.80,3.30,0.55
VIP Industries,594.00,588.05,590.15,586.95,3.20,0.55
Aarti Drugs,440.90,435.05,436.00,433.65,2.35,0.54
Anupam Rasayan,774.00,763.00,768.65,764.70,3.95,0.52
Balaji Amines,"3,478.00","3,432.05","3,454.10","3,436.30",17.80,0.52
BASF,"3,232.65","3,182.55","3,196.25","3,179.75",16.50,0.52
Siemens,"2,960.50","2,889.40","2,950.80","2,935.40",15.40,0.52
Sterlite Techno,173.90,170.10,172.55,171.65,0.90,0.52
BHEL,61.70,60.40,60.80,60.50,0.30,0.5
KEC Intl,406.80,400.55,403.80,401.80,2.00,0.5
Ramco Cements,761.80,745.30,759.10,755.40,3.70,0.49
Nuvoco Vistas,353.95,339.50,351.00,349.30,1.70,0.49
Navin Fluorine,"4,298.00","4,212.00","4,273.05","4,252.15",20.90,0.49
Railtel,103.90,100.20,101.65,101.15,0.50,0.49
Coal India,234.65,231.00,232.70,231.60,1.10,0.47
Route,"1,469.70","1,445.40","1,450.95","1,444.20",6.75,0.47
Whirlpool,"1,810.15","1,785.35","1,799.35","1,790.95",8.40,0.47
Laxmi Organic,335.00,327.00,328.70,327.20,1.50,0.46
Alkem Lab,"3,060.00","3,030.40","3,048.20","3,034.85",13.35,0.44
Bajaj Electric,"1,248.40","1,225.00","1,229.65","1,224.25",5.40,0.44
DCM Shriram,"1,074.00","1,047.90","1,056.75","1,052.25",4.50,0.43
Sun TV Network,517.00,509.30,512.75,510.60,2.15,0.42
Dalmia Bharat,"1,569.80","1,535.00","1,556.95","1,550.60",6.35,0.41
Go Fashion,"1,200.00","1,175.35","1,191.00","1,186.45",4.55,0.38
Hindalco,432.90,427.10,430.95,429.30,1.65,0.38
J. K. Cement,"2,724.85","2,676.05","2,709.90","2,699.70",10.20,0.38
JSW Steel,687.00,678.50,684.55,681.95,2.60,0.38
Polyplex Corp,"2,204.00","2,174.40","2,187.95","2,179.65",8.30,0.38
Alkyl Amines,"3,025.00","2,971.30","2,982.10","2,971.25",10.85,0.37
Sun Pharma,890.70,882.55,887.75,884.60,3.15,0.36
IDBI Bank,44.15,42.75,43.45,43.30,0.15,0.35
Sun Pharma Adv,231.90,225.00,228.65,227.85,0.80,0.35
Escorts Kubota,"2,057.20","2,017.10","2,026.40","2,019.60",6.80,0.34
Schaeffler Ind,"3,374.00","3,280.00","3,331.75","3,320.30",11.45,0.34
TCI Express,"1,835.00","1,765.90","1,787.05","1,781.20",5.85,0.33
Natco Pharma,623.00,615.05,618.45,616.50,1.95,0.32
Hinduja Global,"1,447.60","1,396.50","1,403.30","1,398.90",4.40,0.31
Carborundum,864.80,848.15,856.55,854.00,2.55,0.3
DLF,398.95,392.30,395.25,394.10,1.15,0.29
Eicher Motors,"3,424.10","3,400.00","3,410.35","3,400.50",9.85,0.29
India Cements,235.75,230.25,232.70,232.05,0.65,0.28
JB Chemicals,"1,865.00","1,820.00","1,849.75","1,844.65",5.10,0.28
Chalet Hotels,338.85,329.10,331.50,330.60,0.90,0.27
Capri Global,735.45,726.50,730.40,728.45,1.95,0.27
Chola Invest.,817.75,798.30,801.80,799.75,2.05,0.26
Abbott India,"18,496.45","18,209.20","18,256.50","18,209.00",47.50,0.26
TCNS Clothing C,706.70,672.15,700.85,699.00,1.85,0.26
Ashok Leyland,169.45,164.45,165.00,164.60,0.40,0.24
Clean Science,"1,818.00","1,781.10","1,794.55","1,790.30",4.25,0.24
Castrol,114.30,113.15,113.80,113.55,0.25,0.22
Birlasoft,324.85,318.20,323.20,322.50,0.70,0.22
Tata Coffee,251.70,241.00,243.60,243.10,0.50,0.21
Vardhman Text,332.70,326.30,329.50,328.80,0.70,0.21
Bank of India,51.95,50.55,51.00,50.90,0.10,0.2
UTI AMC,854.95,833.55,841.60,839.95,1.65,0.2
Fortis Health,294.70,286.00,287.55,287.00,0.55,0.19
HCL Tech,942.90,927.05,937.80,936.00,1.80,0.19
Mahindra Logist,499.85,490.75,494.40,493.50,0.90,0.18
Dabur India,573.00,568.40,571.00,570.10,0.90,0.16
FDC,285.00,279.45,280.70,280.25,0.45,0.16
Titan Company,"2,646.90","2,611.00","2,631.65","2,627.35",4.30,0.16
GE Shipping,543.50,518.15,537.50,536.70,0.80,0.15
Page Industries,"50,692.35","49,736.50","49,858.95","49,786.20",72.75,0.15
Vakrangee,35.10,31.45,32.95,32.90,0.05,0.15
ICICI Bank,889.95,878.10,883.65,882.45,1.20,0.14
Poly Medicure,888.00,845.00,873.45,872.25,1.20,0.14
Relaxo Footwear,"1,017.60","1,006.00","1,011.50","1,010.05",1.45,0.14
HPCL,242.75,238.55,238.95,238.65,0.30,0.13
JK Lakshmi Cem,471.40,466.35,468.60,468.05,0.55,0.12
One 97 Paytm,724.75,706.30,709.45,708.70,0.75,0.11
Oil India,197.30,193.25,193.65,193.45,0.20,0.1
RITES,303.95,296.25,299.30,299.00,0.30,0.1
Suprajit Eng,343.95,337.85,339.95,339.65,0.30,0.09
Restaurant Bran,134.00,132.00,133.25,133.15,0.10,0.08
Prince Pipes,599.80,594.00,596.70,596.20,0.50,0.08
Tata Chemicals,"1,132.95","1,111.05","1,120.00","1,119.15",0.85,0.08
Zomato,60.80,59.40,59.70,59.65,0.05,0.08
Zydus Life,373.80,368.50,371.45,371.20,0.25,0.07
Glenmark Life,440.40,437.00,437.80,437.50,0.30,0.07
Interglobe Avi,"2,033.25","2,013.00","2,021.40","2,019.90",1.50,0.07
IndusInd Bank,"1,118.75","1,097.60","1,108.80","1,108.00",0.80,0.07
Petronet LNG,217.90,214.80,216.10,215.95,0.15,0.07
Orient Electric,261.30,255.00,257.15,257.00,0.15,0.06
Rajesh Exports,583.10,576.05,580.40,580.05,0.35,0.06
Ajanta Pharma,"1,356.95","1,336.10","1,346.90","1,346.30",0.60,0.04
Container Corp,675.00,667.20,669.35,669.15,0.20,0.03
Indian Bank,194.95,191.15,192.60,192.55,0.05,0.03
